instance,cohort,n,published_BKV,best,mean,std_f,mean_time_to_best_seconds,std_time_to_best_seconds,gain_over_published_BKV
bmcp_1200_1300_0.3_3000,II_medium,10,186083,186083,186083,0,0.028507650014944375,0.014736801129393521,0
bmcp_1200_1300_0.5_2000,II_medium,10,162154,162154,162154,0,0.06180332003859803,0.026419480438769547,0
bmcp_1200_1200_0.5_2000,II_medium,10,151440,151440,151440,0,0.03303993000881746,0.012253947991611988,0
bmcp_1200_1200_0.3_3000,II_medium,10,172595,172595,172595,0,0.02060313002439216,0.0021644811379342016,0
bmcp_1200_1100_0.3_3000,II_medium,10,161848,161848,161848,0,0.019621280010323972,0.0019162419343196654,0
bmcp_1200_1100_0.5_2000,II_medium,10,137700,137700,137700,0,0.05116527999052778,0.028795229046279184,0
bmcp_1100_1200_0.3_3000,II_medium,10,172660,172660,172660,0,0.01931905000237748,0.0001660634531207294,0
bmcp_1100_1200_0.5_2000,II_medium,10,150493,150493,150493,0,0.021007759973872452,0.000351544281688277,0
bmcp_1100_1100_0.3_3000,II_medium,10,157530,157530,157530,0,0.0179991599987261,0.0001973170426251947,0
bmcp_1100_1100_0.5_2000,II_medium,10,139235,139235,139235,0,0.037450729997362944,0.013590698781809227,0
bmcp_1100_1000_0.3_3000,II_medium,10,143475,143475,143475,0,0.016731989989057183,0.0007205274742957515,0
bmcp_1100_1000_0.5_2000,II_medium,10,127157,127157,127157,0,0.033461319992784413,0.016925391271040455,0
bmcp_1000_1000_0.05_2000,I,10,113331,113331,113331,0,0.016267700004391372,0.00019122137940059635,0
bmcp_1000_1000_0.075_1500,I,10,120246,120246,120246,0,0.019307679985649882,0.00012116424077387432,0
bmcp_1000_985_0.05_2000,I,10,112057,112057,112057,0,0.015764079964719714,8.289122414477078e-05,0
bmcp_1000_985_0.075_1500,I,10,113615,113615,113615,0,0.019154520006850362,7.503077419391227e-05,0
bmcp_985_1000_0.05_2000,I,10,110669,110669,110669,0,0.016597309999633582,5.5356588287873503e-05,0
bmcp_985_1000_0.075_1500,I,10,115505,115505,115505,0,0.01962678999407217,0.0001368075290169954,0
bmcp_900_900_0.05_2000,I,10,102055,102055,102055,0,0.014475340000353753,8.827510975681468e-05,0
bmcp_900_900_0.075_1500,I,10,105081,105081,105081,0,0.01685319999232888,7.709507948520361e-05,0
bmcp_900_885_0.05_2000,I,10,99590,99590,99590,0,0.014126170007511974,0.0001192068460112096,0
bmcp_900_885_0.075_1500,I,10,105141,105141,105141,0,0.016818370006512852,5.727092196317359e-05,0
bmcp_885_900_0.05_2000,I,10,102277,102277,102277,0,0.01298558000707999,0.00014640631367995418,0
bmcp_885_900_0.075_1500,I,10,106940,106940,106940,0,0.015618840011302381,6.876329368791224e-05,0
bmcp_800_800_0.05_2000,I,10,91795,91795,91795,0,0.011631569999735802,0.00014055252846438657,0
bmcp_800_800_0.075_1500,I,10,95995,95995,95995,0,0.01382420000154525,6.423725355919355e-05,0
bmcp_800_785_0.05_2000,I,10,89138,89138,89138,0,0.011681110004428775,4.034593513294313e-05,0
bmcp_800_785_0.075_1500,I,10,91856,91856,91856,0,0.013768899987917393,7.835822534890491e-05,0
bmcp_785_800_0.05_2000,I,10,92740,92740,92740,0,0.020689480006694794,0.021187826242864076,0
bmcp_785_800_0.075_1500,I,10,95221,95221,95221,0,0.013878999988082796,0.00011337087105473936,0
bmcp_700_700_0.05_2000,I,10,78458,78458,78458,0,0.009152620006352663,0.00013183291008643663,0
bmcp_700_700_0.075_1500,I,10,84576,84576,84576,0,0.01069090999662876,6.577284278687218e-05,0
bmcp_700_685_0.05_2000,I,10,78054,78054,78054,0,0.00907702000113204,0.0001168677959510091,0
bmcp_700_685_0.075_1500,I,10,78869,78869,78869,0,0.010832819994539023,0.00015921851490335103,0
bmcp_685_700_0.05_2000,I,10,81227,81227,81227,0,0.008989809977356345,0.00010701660083394715,0
bmcp_685_700_0.075_1500,I,10,83286,83286,83286,0,0.013113949995022267,0.007392825839988909,0
bmcp_600_600_0.05_2000,I,10,68738,68738,68738,0,0.006720360019244254,4.406115361957733e-05,0
bmcp_600_600_0.075_1500,I,10,71904,71904,71904,0,0.007987310003954917,8.581815323202175e-05,0
bmcp_600_585_0.05_2000,I,10,67636,67636,67636,0,0.006686879985500127,4.0565035920744524e-05,0
bmcp_600_585_0.075_1500,I,10,70588,70588,70588,0,0.009492119995411486,0.0035377629468014244,0
bmcp_585_600_0.05_2000,I,10,71102,71102,71102,0,0.006787180015817284,9.046547321105436e-05,0
bmcp_585_600_0.075_1500,I,10,71025,71025,71025,0,0.007901420001871884,0.00011118900173812682,0
